"","Genes","L_C","L_PC","L_PI","L_HS","L_CoE","B_C","B_PC","B_PI","B_HS","B_CoE","Di_mean","Di_sd","CI_mean","CI_sd","plastic","L_N","L_NDi","B_N","B_NDi","I","na_count"
"1","CD79A",0.23963507833397,0.000382116927779901,0.084543370271303,0.675439434466947,0.498312260867233,0.207823844096293,0.000334352311807413,0.084734428735193,0.707107374856706,0.538906102008755,0.983397941584703,0.123754147957058,0.998915675764108,0.0318932611491163,0.462395599805055,0.821486387049301,0.520824135393672,0.831376386170907,0.491682974559687,0.000441501103752759,0
"4","ITK",0.201929967037692,0.00807337696460135,0.0477714613290021,0.742225194668705,0.501971984880664,0.181722638895524,0.00802560550327235,0.046338317489132,0.763913438112072,0.540545163297343,0.880334036172321,0.230407438932556,0.967587927588694,0.174811400107503,0.406246833428237,0.774277242401779,0.220719051148999,0.838122217725617,0.226426547956293,0.00148257968865827,0
"5","CDH1",0.133285577841452,0.0183381088825215,0.268529130850048,0.579847182425979,0.521758931386229,0.11127029608405,0.0181470869149952,0.26341929321872,0.607163323782235,0.550683554797509,0.960271216264137,0.18542527666671,0.915811981341033,0.270524715514529,0.315741930827548,0.390088656512844,0.0717208456467379,0.510211524434719,0.0655239484561148,0.00227324391907252,0
"8","SMN2",0.376558841798461,0.00119451478809308,0.083329351617373,0.538917291796072,0.510013531618934,0.195995986430312,0.00119451478809308,0.0804625161259496,0.722346982655645,0.514724479604858,0.932855575217241,0.174158396718658,0.995645791813403,0.0655919019381568,0.372694327675878,0,0,0.662364481156427,0,0,0
"9","CYTIP",0.190787901954226,0.000668928281332123,0.0604424482775097,0.748100721486932,0.492157566480374,0.147642027808304,0.000668928281332123,0.0725309379330116,0.779158105977352,0.552909980655218,0.782702863866644,0.322912727975842,0.997849485047421,0.0455224206680786,0.432171906090169,0.752276176024279,0.147951441578149,0.848550411077456,0.0575508437905669,0.000379362670713202,0
"10","IRF9",0.255936171229277,0.00138550475371459,0.0342554106349434,0.708422913382065,0.494689840216417,0.179781185800965,0.00138550475371459,0.0343987387129139,0.784434570732407,0.537677159637968,0.843881439654919,0.224370012473394,0.994903340072472,0.0703086063206313,0.377590185405094,0.631984270031132,0.0491561527117811,0.760859929078014,0.0644946808510638,0.000491561527117811,0
"11","FEM1B",0.246930096994601,0.000334464140666061,0.0360265660088872,0.716708872855846,0.508072693816667,0.23498494911367,0.000382244732189785,0.0352142959529839,0.729418510201156,0.485255703539433,0.557367380812781,0.402434082981247,0.998769968172824,0.0345131072300598,0.280015951665805,0.661663012312363,0,0.787568426628995,0,0.000168662506324844,0
"12","GPR37",0.275524341885242,0.00367875400124218,0.064354307008743,0.656442597104773,0.515007882189587,0.3262147054608,0.00367875400124218,0.0632554584109694,0.606851082126989,0.560834566556625,0.533901002273305,0.39173922438472,0.984928452216324,0.120390399759204,0.305880712179433,0.358086497010152,0,0.0341475270385223,0,0.000417188151856487,0
"14","PSEN1",0.18669087087374,0.0103186356470644,0.147327186738642,0.655663306740553,0.546035243097874,0.199732479816558,0.0103186356470644,0.135766493097024,0.654182391439354,0.508065399138334,0.931269310470059,0.199362604065054,0.953224744452117,0.204737097749366,0.317932356357056,0.504994450610433,0,0.537090758392043,0.0397845006216328,0.00305216426193119,0
"15","ARVCF",0.221548017200191,0.00100334448160535,0.0270903010033445,0.750358337314859,0.508789344082075,0.215480172001911,0.0010989010989011,0.0273291925465838,0.756091734352604,0.490777770331606,0.788018153569656,0.299596849503878,0.99593096601514,0.0625701551645172,0.36297368194259,0.693588516746412,0,0.727913809990206,0,0.000191387559808612,0
"17","GFAP",0.173491327822638,0.00172010129485403,0.278083042668068,0.546705528214439,0.49248964724394,0.0100817048115056,0,0,0.989918295188494,0.518079552356003,0.964880531379492,0.141571863545027,0.994134351252296,0.0747661982087483,0.594775880979792,0.301675977653631,0.0054811847791715,1,1,0.000210814799198904,0
"18","NLGN4X",0.349574854304003,9.55383586509984e-05,0.0793923760389797,0.570937231298366,0.51556732353008,0.311311741664278,9.55383586509984e-05,0.0710805388363428,0.617512181140728,0.474074482109072,0.846147381562662,0.252961644358072,0.999858705375862,0.0118712712777755,0.276490038933647,0.126809173903362,0.0131373858828769,0.231797177469714,0.0485824903209692,0.000111333778668448,0
