"","Genes","L_C","L_PC","L_PI","L_HS","L_CoE","B_C","B_PC","B_PI","B_HS","B_CoE","Di_mean","Di_sd","CI_mean","CI_sd","plastic","L_N","L_NDi","B_N","B_NDi","I","na_count"
"1","DDX6",0.268405714012708,0.000429984233911423,0.00329654579332091,0.727867755960059,0.521842437979832,0.248435335148822,0.000382208207921265,0.00305766566337012,0.748124790979886,0.496043464075696,0.819579533794305,0.275636673576432,0.998033313590345,0.04368011882335,0.276520442395245,0.678370786516854,0,0.783952959028832,0,0.000526685393258427,0
"2","ECM1",0.411302830554478,0,0.080990694067468,0.507706475378053,0.523641010751038,0.20506979449399,0,0.0657231485071733,0.729207056998837,0.523576498327047,0.787472622342231,0.262789731573657,NA,NA,0.415944797076293,0,0,0.716126722749239,0.0748165383926973,0,2
"3","ESRRA",0.238222646918299,0.00688007644529384,0.0630195891065456,0.691877687529861,0.499157341801181,0.201433349259436,0.00740563784042045,0.0735308170090779,0.717630195891065,0.512815319169323,0.737139005361445,0.29623265259832,0.966251729752124,0.176752456472087,0.306646455019189,0.726159094433245,0.17599627849279,0.815228426395939,0.128257191201354,0.00108543960303923,0
"4","MACC1",0.288421460766733,0,0.0762855619638443,0.635292977269423,0.538325837647855,0.263509911307129,0,0.0618911452527504,0.67459894344012,0.547244642718835,0.765788628947236,0.300933927663543,NA,NA,0.356069703075964,0.297142857142857,0,0.254691689008043,0.0601727733095025,0,2
"5","MAPK8",0.127488898438619,0.0100272167311273,0.257842715943275,0.604641168886979,0.512305760930732,0.135176431265817,0.0103614572888316,0.237931528434322,0.61653058301103,0.524868957085122,0.931419068158151,0.241754981518295,0.893792243734453,0.281808682341744,0.303735777769117,0.760628019323672,0.214009661835749,0.851077076329224,0.261486738886814,0.00422705314009662,0
"6","MTOR",0.123668497731072,0.00831144017196083,0.276618103654168,0.591401958442799,0.508680570657811,0.0739909242894674,0.00878910914736088,0.331215667542393,0.586004299020779,0.516859558483305,0.932694766142185,0.238366212797037,0.952362461283627,0.204527980051883,0.337384339060782,0.782324058919804,0.251812017769465,0.642436829352717,0.0519210799584631,0.0022211830722469,0
"7","MYC",0.155630877930014,0.0247290781496157,0.246574688499546,0.573065355420824,0.51153177721524,0.100730414856543,0.024633599083401,0.279610445409844,0.595025540650212,0.536977228429432,0.942600499335219,0.220669588875757,0.853035817411175,0.288700766783981,0.35760416210254,0.80319803198032,0.357709940735771,0.787457267476129,0.186844276788872,0.00905736330090574,0
"8","NR1H2",0.233863647221824,0.00434761836510439,0.0603888968515599,0.701399837561512,0.504281072621212,0.21150446705843,0.0046820505470355,0.0611055372414123,0.722707945153122,0.516641483673496,0.904396175936201,0.210161193300308,0.976595876967972,0.148444031571654,0.290089199270991,0.71872,0.16032,0.819262577532736,0.171433494141971,0.00096,0
"9","NR1H3",0.219530839424777,0.00453872246906502,0.0880512158998615,0.687879222206297,0.500919073559522,0.195356170273757,0.00477760259901581,0.0507381396015479,0.74912808752568,0.529748104295426,0.814973074559361,0.30352453961029,0.978636582865816,0.142626119889725,0.427078553005662,0.637379458135619,0,0.868786897733765,0.218815463721196,0.000612276136537578,0
"10","PARK2",0.138784087110177,0.0117006542814843,0.245618224366016,0.603897034242323,0.490517316895352,0.121830077845169,0.0116051387363293,0.255886145470175,0.610678637948326,0.495051230193112,0.904270907111204,0.266108359724759,0.85564742731702,0.313148649802092,0.342175760985559,0.698818422956354,0.23800337593441,0.662782139352306,0.140210991167812,0.00578731613214372,0
"11","PARP14",0.244948393661869,0,0.0597470562581771,0.695304550079954,0.501863988577748,0.201676600281049,0,0.0591655763919174,0.739157823327034,0.549748936077051,0.865391371261951,0.236026595902959,NA,NA,0.380051368277208,0.779421119592875,0.251590330788804,0.848968976407208,0.277354634961917,0,2
"12","PGR",0.15087400897889,0.0178622600057312,0.213248638838476,0.618015092176903,0.542562780807889,0.140939917852708,0.0179100200592225,0.17967332123412,0.66147674085395,0.528645869836996,0.96777528190294,0.146823290898529,0.926745799283454,0.255596247180218,0.432273827872429,0.564141035258815,0.112903225806452,0.860468397291196,0.27073927765237,0.00212553138284571,0
"13","PPARD",0.221415261120933,0.0106072913182665,0.10908309044866,0.658894357112141,0.48990477312435,0.185818720435759,0.0105117301352191,0.106694060872474,0.696975488556548,0.529994297679514,0.821310356349411,0.28353804224383,0.958925909898922,0.196228373049748,0.362445952413347,0.611570247933884,0,0.439608956165248,0,0.000700378204230284,0
"14","PPARG",0.150773195876289,0.025057273768614,0.242124856815578,0.582044673539519,0.51311160750248,0.134975181366934,0.0247231767850325,0.25405689194349,0.586244749904544,0.497923249872732,0.926766312328684,0.246777458915391,0.832827448333976,0.358945902136616,0.328157926505291,0.830078794107571,0.37330135891287,0.820625216287923,0.303149152151344,0.00308324768756423,0
"15","PPARGC1A",0.203878857361231,0.0146651380529283,0.103229196522404,0.678226808063437,0.471252760924615,0.180519728671061,0.0145695996942773,0.0957772045476259,0.709133467087035,0.511691242868322,0.874036050023348,0.262970620531439,0.934179661115332,0.241907463115448,0.408579278086038,0.743319477434679,0.17666270783848,0.74905567416653,0.189522089012974,0.00237529691211401,0
"16","PTBP1",0.224759902527593,0.00702374695398729,0.0656983133451192,0.7025180371733,0.52237985018837,0.190310096038989,0.00726264991160591,0.0722442543838693,0.730182999665536,0.539330622023691,0.883046808044351,0.226045605250484,0.970358965551239,0.166189260399813,0.325774118929418,0.611789270799872,0.0409572759396081,0.687975916415796,0,0.0016061676839062,0
"17","SFN",0.202140365964359,0.0182982179542306,0.0799770675075247,0.699584348573886,0.520193603479813,0.174286942812097,0.0193970665520042,0.0666953322822608,0.739620658353638,0.527073561149143,0.878602627136964,0.259325294866162,0.911444840894547,0.276074669571384,0.390220571238059,0.672868956743003,0,0.790642201834862,0.136330275229358,0.00302162849872774,0
"18","SIRT5",0.248219045311364,0,0.0969711654955173,0.654809789193118,0.503136729582422,0.302059607463048,0,0.133559486309668,0.564380906227284,0.510793878168794,0.790946559817781,0.319096507061127,NA,NA,0.387544341918121,0.548926014319809,0.143619261547101,0.0164645678050951,0,0,2
"19","SOD2",0.133562461215332,0,0.245023628812831,0.621413909971836,0.488424751126932,0.117618979426226,0,0.223877034703327,0.658503985870447,0.558522682548812,0.906985864773791,0.268558218052733,0.999865650502974,0.0112877565933651,0.378391363330443,0.837599293909974,0.357962425923591,0.861755661168577,0.321358680458485,0,0
